,Make
1572,CONTINENTAL
1573,CESSNA
1574,PIPER
1575,PIPER
1576,PIPER
1577,PIPER
1578,ROCKWELL INTL.
1579,CESSNA
1580,AEROSPATIALE
1581,DE HAVILLAND
1582,BELL
1583,SCHWEIZER
1584,CESSNA
1585,AYRES
1586,BOEING
1587,SOUTHERN AIRMOTIVE CORP SAC
1588,PIPER
1589,CESSNA
1590,BEECH
1591,CALLAIR
1592,CESSNA
1593,CESSNA
1594,CESSNA
1595,ROCKWELL
1596,CESSNA
1597,CESSNA
1598,PIPER
1599,HUGHES
1600,BEECH
1601,BELLANCA
1602,PIPER
1603,CESSNA
1604,BLANIK
1605,SMITH
1606,CESSNA
1607,BEECH
1608,CESSNA
1609,CESSNA
1610,CESSNA
1611,GRUMMAN
1612,CESSNA
1613,CESSNA
1614,CESSNA
1615,CESSNA
1616,BARRETT
1617,MOONEY
1618,BELLANCA
1619,CESSNA
1620,PIPER
1621,STINSON
